ID,GC_Content,GC3_Content,Bad_Seq
lcl|NC_000913.3_cds_NP_414542.1_1,52,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414543.1_2,53,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414544.1_3,56,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414545.1_4,53,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414546.1_5,54,47,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414547.1_6,50,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414548.1_7,53,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414549.1_8,52,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414550.1_9,54,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414551.1_10,53,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414552.1_11,51,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518733.1_12,48,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414554.1_13,49,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414555.1_14,51,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414556.1_15,55,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414557.1_16,52,44,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414559.1_17,51,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_025292.1_18,53,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414560.1_19,51,55,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414561.1_20,47,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414562.1_21,55,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414563.1_22,53,54,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414564.1_23,47,47,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414565.1_24,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414566.1_25,54,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414567.1_26,56,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414568.1_27,54,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414569.1_28,54,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414570.1_29,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414571.1_30,56,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414572.1_31,53,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414573.1_32,53,58,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414574.1_33,56,65,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414576.4_34,46,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414577.2_35,55,61,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414578.2_36,54,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414579.4_37,51,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414580.1_38,53,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414581.1_39,54,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414582.1_40,52,65,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414583.2_41,53,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414584.1_42,57,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414585.1_43,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414586.1_44,57,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414587.1_45,53,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414588.1_46,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414589.1_47,56,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414590.1_48,53,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414591.1_49,56,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414592.1_50,52,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414593.1_51,53,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414594.1_52,56,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414595.1_53,54,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414596.1_54,51,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414597.1_55,53,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518734.1_56,45,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518735.1_57,34,28,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414600.1_58,54,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414601.1_59,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414602.1_60,55,62,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414603.1_61,55,65,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414604.1_62,55,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414605.1_63,58,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414606.1_64,53,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414607.1_65,54,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414608.1_66,57,68,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414609.1_67,58,70,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414610.1_68,53,60,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414611.1_69,55,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_002791237.1_70,47,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_025293.1_71,49,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414613.1_72,51,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414614.1_73,56,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414615.4_74,55,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414616.1_75,53,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414617.1_76,47,45,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414618.4_77,46,43,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518736.1_78,31,33,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_YP_025294.2_79,53,58,"Good_start,Good_stop"
